base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
72,16,0.9155,0.0206,0.8932,0.0251,0.875,0.9122,0,0.0,0.0,G113(enum); G178(enum); G204(enum); G224(enum); G225(enum); G236(enum); G266(enum); G267(enum); G273(enum); G277(enum); G304(enum); G337(enum); G351(enum); G526(enum); G540(enum); G668(enum)
13,28,0.9165,0.0185,0.887,0.0233,0.8591,0.9168,1,0.022,0.056,G9(enum); G39(enum); G40(enum); G41(enum); G101(enum); G113(enum); G204(enum); G226(enum); G266(enum); G273(enum); G282(enum); G313(enum); G325(enum); G348(enum); G357(enum); G411(enum); G427(enum); G448(enum); G523(enum); G524(enum); G526(enum); G539(enum); G540(enum); G608(enum); G610(enum); G648(enum); G666(enum); R14
52,27,0.9153,0.0186,0.883,0.0241,0.8544,0.9137,0,0.0,0.0,G9(enum); G39(enum); G40(enum); G41(enum); G101(enum); G113(enum); G185(enum); G204(enum); G226(enum); G266(enum); G273(enum); G282(enum); G313(enum); G325(enum); G348(enum); G357(enum); G411(enum); G427(enum); G448(enum); G452(enum); G469(enum); G524(enum); G526(enum); G539(enum); G540(enum); G593(enum); G608(enum)
7,29,0.9154,0.0176,0.8802,0.0228,0.846,0.9172,2,0.044,0.111,G9(enum); G39(enum); G40(enum); G41(enum); G101(enum); G113(enum); G204(enum); G226(enum); G245(enum); G266(enum); G267(enum); G273(enum); G277(enum); G282(enum); G325(enum); G336(enum); G348(enum); G357(enum); G411(enum); G427(enum); G448(enum); G469(enum); G524(enum); G526(enum); G540(enum); G608(enum); G666(enum); R5; R14
3,29,0.9159,0.0176,0.88,0.0228,0.8457,0.9172,1,0.022,0.056,G9(enum); G39(enum); G40(enum); G41(enum); G101(enum); G113(enum); G204(enum); G226(enum); G245(enum); G266(enum); G267(enum); G273(enum); G277(enum); G282(enum); G325(enum); G336(enum); G348(enum); G357(enum); G411(enum); G427(enum); G448(enum); G469(enum); G513(enum); G524(enum); G526(enum); G540(enum); G608(enum); G666(enum); R14
53,17,0.9147,0.0115,0.8023,0.0115,0.6956,0.9476,0,0.0,0.0,G113(enum); G204(enum); G225(enum); G266(enum); G273(enum); G275(enum); G277(enum); G308(enum); G337(enum); G351(enum); G380(enum); G411(enum); G515(enum); G520(enum); G540(enum); G596(enum); G636(enum)
4,18,0.9149,0.0118,0.8015,0.0123,0.6962,0.9443,0,0.0,0.0,G113(enum); G204(enum); G225(enum); G266(enum); G273(enum); G275(enum); G277(enum); G308(enum); G337(enum); G351(enum); G380(enum); G403(enum); G411(enum); G515(enum); G520(enum); G540(enum); G596(enum); G636(enum)
44,18,0.9138,0.0108,0.7861,0.0107,0.6708,0.9492,0,0.0,0.0,G39(enum); G113(enum); G204(enum); G225(enum); G266(enum); G267(enum); G273(enum); G277(enum); G327(enum); G351(enum); G380(enum); G411(enum); G515(enum); G526(enum); G540(enum); G547(enum); G596(enum); G647(enum)
46,13,0.9129,0.0101,0.7858,0.0103,0.6694,0.951,0,0.0,0.0,G113(enum); G204(enum); G225(enum); G266(enum); G273(enum); G277(enum); G308(enum); G337(enum); G380(enum); G520(enum); G527(enum); G540(enum); G596(enum)
19,15,0.9075,0.0095,0.7854,0.0087,0.6655,0.9579,0,0.0,0.0,G113(enum); G178(enum); G204(enum); G209(enum); G224(enum); G266(enum); G267(enum); G273(enum); G337(enum); G351(enum); G411(enum); G526(enum); G539(enum); G540(enum); G561(enum)
21,12,0.9101,0.01,0.7852,0.0102,0.6685,0.9513,0,0.0,0.0,G113(enum); G182(enum); G204(enum); G266(enum); G273(enum); G277(enum); G337(enum); G351(enum); G411(enum); G526(enum); G540(enum); G596(enum)
70,20,0.9096,0.0097,0.7843,0.0094,0.6655,0.9547,1,0.027,0.056,G184(enum); G204(enum); G267(enum); G277(enum); G351(enum); G380(enum); G402(enum); G407(enum); G411(enum); G420(enum); G490(enum); G515(enum); G520(enum); G524(enum); G526(enum); G540(enum); G569(wm); G655(enum); G678(wm); R6
45,12,0.9071,0.0091,0.7811,0.0084,0.6589,0.9589,2,0.071,0.111,G204(enum); G266(enum); G267(enum); G273(enum); G281(enum); G351(enum); G491(enum); G519(enum); G526(enum); G540(enum); R6; R9
68,24,0.9032,0.006,0.7113,0.0088,0.5684,0.9504,1,0.024,0.056,G9(enum); G40(enum); G41(enum); G91(enum); G101(enum); G113(enum); G204(enum); G266(enum); G267(enum); G273(enum); G325(enum); G357(enum); G401(enum); G411(enum); G427(enum); G515(enum); G520(enum); G523(enum); G524(enum); G540(enum); G542(enum); G608(enum); G678(wm); R14
29,27,0.9047,0.0045,0.7087,0.0057,0.5594,0.9668,1,0.023,0.056,G9(enum); G39(enum); G40(enum); G41(enum); G91(enum); G113(enum); G136(enum); G204(enum); G229(enum); G246(enum); G266(enum); G267(enum); G273(enum); G336(enum); G337(enum); G350(enum); G380(enum); G409(enum); G411(enum); G448(enum); G523(enum); G526(enum); G540(enum); G566(enum); G596(enum); G608(enum); R14
26,29,0.9023,0.0039,0.705,0.005,0.5535,0.9706,1,0.022,0.056,G9(enum); G39(enum); G40(enum); G41(enum); G91(enum); G113(enum); G179(enum); G199(enum); G204(enum); G226(enum); G246(enum); G256(enum); G266(enum); G273(enum); G282(enum); G325(enum); G409(enum); G411(enum); G421(enum); G427(enum); G448(enum); G521(enum); G524(enum); G526(enum); G540(enum); G570(enum); G608(enum); G666(enum); R14
79,18,0.9014,0.0064,0.7035,0.0064,0.5543,0.9627,0,0.0,0.0,G39(enum); G101(enum); G204(enum); G209(enum); G266(enum); G267(enum); G273(enum); G337(enum); G380(enum); G411(enum); G445(enum); G526(enum); G530(enum); G539(enum); G540(enum); G561(enum); G647(enum); G675(enum)
41,17,0.9055,0.0069,0.7016,0.0081,0.555,0.9534,0,0.0,0.0,G39(enum); G101(enum); G204(enum); G225(enum); G236(enum); G266(enum); G267(enum); G273(enum); G277(enum); G304(enum); G337(enum); G380(enum); G445(enum); G526(enum); G540(enum); G647(enum); G675(enum)
17,23,0.9058,0.0083,0.7007,0.0093,0.556,0.9471,0,0.0,0.0,G39(enum); G101(enum); G204(enum); G225(enum); G266(enum); G267(enum); G273(enum); G275(enum); G277(enum); G304(enum); G327(enum); G337(enum); G360(enum); G380(enum); G396(enum); G409(enum); G411(enum); G515(enum); G526(enum); G540(enum); G547(enum); G600(enum); G647(enum)
12,20,0.9056,0.0083,0.7006,0.0093,0.5559,0.9471,0,0.0,0.0,G39(enum); G101(enum); G204(enum); G225(enum); G266(enum); G267(enum); G273(enum); G277(enum); G304(enum); G327(enum); G380(enum); G396(enum); G409(enum); G411(enum); G515(enum); G526(enum); G540(enum); G547(enum); G596(enum); G647(enum)
18,15,0.8914,0.0053,0.6969,0.0055,0.5447,0.967,0,0.0,0.0,G204(enum); G266(enum); G267(enum); G273(enum); G277(enum); G337(enum); G380(enum); G490(enum); G515(enum); G520(enum); G524(enum); G526(enum); G531(enum); G540(enum); G569(wm)
60,12,0.9006,0.0053,0.6944,0.0054,0.5416,0.9674,0,0.0,0.0,G113(enum); G204(enum); G213(enum); G225(enum); G266(enum); G273(enum); G277(enum); G337(enum); G380(enum); G520(enum); G540(enum); G581(enum)
36,21,0.9014,0.0043,0.69,0.0061,0.5375,0.9634,1,0.026,0.056,G9(enum); G39(enum); G40(enum); G41(enum); G91(enum); G101(enum); G113(enum); G204(enum); G229(enum); G246(enum); G266(enum); G267(enum); G273(enum); G325(enum); G411(enum); G448(enum); G524(enum); G526(enum); G540(enum); G608(enum); R14
34,19,0.8958,0.0037,0.6849,0.0045,0.5285,0.9725,1,0.028,0.056,G9(enum); G40(enum); G41(enum); G91(enum); G101(enum); G204(enum); G266(enum); G273(enum); G349(enum); G359(enum); G380(enum); G411(enum); G448(enum); G518(enum); G526(enum); G540(enum); G608(enum); G655(enum); R14
25,24,0.8961,0.0033,0.6773,0.004,0.5189,0.9751,1,0.024,0.056,G9(enum); G39(enum); G40(enum); G91(enum); G113(enum); G204(enum); G226(enum); G246(enum); G256(enum); G273(enum); G282(enum); G325(enum); G411(enum); G421(enum); G427(enum); G448(enum); G521(enum); G524(enum); G526(enum); G540(enum); G596(enum); G608(enum); G666(enum); R14
35,24,0.8848,0.003,0.6734,0.0038,0.5141,0.9757,0,0.0,0.0,G9(enum); G101(enum); G113(enum); G178(enum); G204(enum); G225(enum); G226(enum); G231(enum); G236(enum); G264(enum); G266(enum); G273(enum); G277(enum); G304(enum); G325(enum); G337(enum); G385(enum); G411(enum); G526(enum); G532(enum); G540(enum); G666(enum); G668(enum); G674(enum)
76,27,0.8932,0.0032,0.6716,0.0055,0.515,0.9653,1,0.023,0.056,G9(enum); G39(enum); G40(enum); G101(enum); G113(enum); G204(enum); G266(enum); G273(enum); G282(enum); G325(enum); G357(enum); G411(enum); G419(enum); G431(enum); G448(enum); G490(enum); G524(enum); G535(enum); G539(enum); G540(enum); G542(enum); G608(enum); G610(enum); G648(enum); G678(wm); G681(wm); R14
73,24,0.8993,0.0037,0.6715,0.0055,0.5148,0.9655,1,0.024,0.056,G9(enum); G91(enum); G113(enum); G196(enum); G204(enum); G256(enum); G266(enum); G273(enum); G325(enum); G349(enum); G380(enum); G409(enum); G419(enum); G431(enum); G448(enum); G490(enum); G521(enum); G524(enum); G526(enum); G540(enum); G608(enum); G610(enum); G666(enum); R6
38,22,0.898,0.0037,0.6699,0.0052,0.5125,0.967,1,0.026,0.056,G9(enum); G40(enum); G91(enum); G101(enum); G113(enum); G204(enum); G226(enum); G227(enum); G231(enum); G246(enum); G266(enum); G273(enum); G282(enum); G325(enum); G411(enum); G524(enum); G526(enum); G531(enum); G540(enum); G544(enum); G610(enum); R6
