base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
61,14,3,4,2,5,0.8495,0.0101,0.8537,0.0097,0.7711,0.9559,7,0.219,"RA:AG27,A1,A2|SI:BG4,BG6,BG7,B3|CX:CG3,C5|TOP:TG4,TG9,T2,T4,T5"
119,21,6,3,2,10,0.8487,0.0035,0.8523,0.0033,0.7514,0.9844,11,0.314,"RA:AG1,AG11,AG21,A1,A2,A6|SI:BG6,B1,B3|CX:CG2,C5|TOP:TG2,TG3,TG9,TG15,TG16,T2,T3,T4,T5,T6"
76,18,7,4,3,4,0.8451,0.0038,0.8478,0.0035,0.7453,0.9831,9,0.265,"RA:AG1,AG10,AG11,AG19,AG20,AG27,A2|SI:BG2,BG7,B2,B3|CX:CG2,C4,C5|TOP:T2,T3,T4,T5"
16,13,3,3,1,6,0.846,0.0102,0.8446,0.0103,0.7586,0.9527,6,0.188,"RA:AG9,AG18,A3|SI:BG2,BG7,B3|CX:C5|TOP:TG2,TG9,TG15,T4,T5,T7"
77,21,8,2,2,9,0.8403,0.0032,0.8442,0.003,0.7384,0.9853,9,0.243,"RA:AG1,AG3,AG6,AG8,AG16,AG27,A1,A2|SI:BG6,B3|CX:C4,C5|TOP:TG1,TG3,TG9,TG15,TG16,T2,T3,T4,T5"
111,15,3,4,1,7,0.8373,0.004,0.8406,0.0041,0.7358,0.9801,7,0.212,"RA:AG1,AG10,AG19|SI:BG2,BG7,B1,B3|CX:C5|TOP:TG9,TG15,TG24,T3,T4,T5,T6"
116,20,5,3,2,10,0.8352,0.0031,0.8391,0.0029,0.7303,0.9858,9,0.25,"RA:AG1,AG19,AG28,A1,A2|SI:BG6,B3,B4|CX:CG2,C5|TOP:TG1,TG3,TG4,TG9,TG15,TG16,T2,T3,T5,T7"
79,12,4,4,1,3,0.8343,0.0096,0.8339,0.0093,0.7394,0.9562,8,0.276,"RA:AG1,A3,A4,A5|SI:BG2,BG7,B1,B3|CX:C5|TOP:TG9,T4,T5"
75,12,3,3,1,5,0.8329,0.0096,0.8322,0.0093,0.7367,0.9561,7,0.233,"RA:AG9,A3,A5|SI:BG2,BG7,B3|CX:C5|TOP:TG9,TG15,T4,T5,T7"
21,18,5,4,2,7,0.8317,0.003,0.8311,0.0028,0.7183,0.9858,8,0.229,"RA:AG1,AG9,AG19,AG20,AG27|SI:BG6,BG7,B1,B4|CX:CG4,C5|TOP:TG3,TG4,T3,T4,T5,T6,T7"
52,12,3,4,2,3,0.8286,0.0091,0.8275,0.0089,0.7286,0.9574,8,0.276,"RA:AG1,A3,A5|SI:BG2,BG7,B1,B3|CX:C3,C5|TOP:TG10,T4,T5"
13,12,4,4,2,2,0.8266,0.0088,0.8263,0.0085,0.7258,0.9591,8,0.276,"RA:AG1,AG9,A3,A5|SI:BG2,BG7,B1,B3|CX:C3,C5|TOP:T4,T5"
73,14,4,4,1,5,0.8219,0.0041,0.8244,0.004,0.7115,0.9798,7,0.219,"RA:AG9,AG19,A1,A3|SI:BG2,BG7,B1,B3|CX:C5|TOP:TG2,TG9,TG15,T4,T5"
22,16,6,4,1,5,0.8195,0.0039,0.8222,0.0038,0.7079,0.9806,8,0.242,"RA:AG1,AG10,AG19,AG26,AG27,A5|SI:BG2,BG7,B1,B3|CX:C5|TOP:TG9,T1,T3,T4,T5"
67,12,3,3,1,5,0.8148,0.0048,0.8168,0.0046,0.7021,0.9764,7,0.233,"RA:AG1,AG19,A2|SI:BG2,BG7,B3|CX:C5|TOP:TG9,T2,T3,T4,T5"
87,12,3,5,1,3,0.8109,0.0035,0.8127,0.0033,0.6927,0.9831,6,0.194,"RA:AG1,AG9,A5|SI:BG2,BG6,BG7,B1,B3|CX:C5|TOP:TG9,T4,T5"
74,21,6,4,3,8,0.8051,0.0018,0.8095,0.002,0.685,0.9894,10,0.278,"RA:AG1,AG9,AG10,AG19,AG27,A5|SI:BG2,BG6,B1,B3|CX:CG4,C2,C5|TOP:TG3,TG4,TG9,T3,T4,T5,T6,T7"
27,21,5,4,4,8,0.8,0.0017,0.8051,0.002,0.6787,0.9894,11,0.314,"RA:AG1,AG10,AG19,AG27,A5|SI:BG2,BG6,B1,B3|CX:CG4,C2,C4,C5|TOP:TG3,TG4,TG9,T3,T4,T5,T6,T7"
109,14,6,3,1,4,0.8024,0.0033,0.8045,0.0031,0.6806,0.9837,7,0.219,"RA:AG1,AG23,AG25,A1,A2,A3|SI:BG2,BG7,B3|CX:C5|TOP:TG1,TG9,T4,T5"
101,14,2,4,2,6,0.7988,0.0027,0.8016,0.0025,0.675,0.9866,8,0.258,"RA:AG1,A1|SI:BG2,BG6,BG7,B3|CX:C4,C5|TOP:TG4,TG9,T2,T3,T4,T5"
85,19,7,3,1,8,0.7945,0.0023,0.7978,0.0027,0.67,0.9857,9,0.257,"RA:AG1,AG9,AG10,AG15,AG21,A3,A6|SI:BG2,BG7,B3|CX:C5|TOP:TG1,TG9,TG11,T3,T4,T5,T6,T7"
25,17,5,2,3,7,0.7922,0.0025,0.7949,0.0023,0.665,0.9878,10,0.312,"RA:AG1,AG23,AG25,A1,A3|SI:BG2,B3|CX:C1,C4,C5|TOP:TG4,TG9,TG15,T2,T3,T4,T5"
80,17,6,3,2,6,0.7902,0.0019,0.7921,0.0022,0.6609,0.9882,6,0.167,"RA:AG1,AG9,AG17,AG18,AG19,A3|SI:BG1,BG6,B3|CX:CG2,C5|TOP:TG2,TG4,TG9,T3,T4,T5"
112,14,5,3,1,5,0.7858,0.0022,0.7876,0.0023,0.6552,0.9871,6,0.182,"RA:AG1,AG9,AG17,AG18,A3|SI:BG2,BG7,B3|CX:C5|TOP:TG9,TG15,T3,T4,T5"
56,13,3,5,2,3,0.7836,0.0024,0.7858,0.0021,0.6522,0.9882,8,0.267,"RA:AG1,AG11,A3|SI:BG2,BG6,BG7,B1,B3|CX:C1,C5|TOP:T3,T4,T5"
55,16,4,3,2,7,0.7725,0.0021,0.7749,0.0018,0.6368,0.9895,8,0.242,"RA:AG1,AG19,AG26,A1|SI:BG2,B1,B3|CX:C4,C5|TOP:TG3,TG8,TG9,TG15,T3,T4,T5"
57,12,3,3,2,4,0.7713,0.0015,0.7746,0.0015,0.6356,0.9915,7,0.233,"RA:AG1,AG19,A4|SI:BG2,BG6,B3|CX:C4,C5|TOP:TG9,T3,T4,T5"
53,19,6,4,2,7,0.7605,0.0013,0.7627,0.0016,0.6201,0.9904,7,0.189,"RA:AG1,AG9,AG10,AG15,AG21,AG27|SI:BG2,BG7,B1,B3|CX:CG2,C5|TOP:TG1,TG9,TG11,T3,T4,T5,T7"
93,17,7,2,2,6,0.7565,0.0014,0.7588,0.0014,0.6145,0.9916,8,0.235,"RA:AG1,AG12,AG16,AG18,AG19,A1,A2|SI:BG2,B3|CX:C4,C5|TOP:TG3,TG9,TG15,T3,T4,T5"
38,13,4,2,2,5,0.75,0.0015,0.7533,0.0012,0.6069,0.9926,7,0.226,"RA:AG1,AG19,AG27,A4|SI:BG2,B3|CX:C4,C5|TOP:TG4,TG9,T3,T4,T5"
103,20,5,3,3,9,0.7523,0.0012,0.7529,0.0012,0.6063,0.9929,12,0.364,"RA:AG1,AG18,A1,A2,A3|SI:BG2,BG6,B3|CX:C1,C4,C5|TOP:TG1,TG3,TG9,TG15,T3,T4,T5,T6,T8"
115,21,7,4,2,8,0.7487,0.0011,0.7497,0.0011,0.602,0.9936,10,0.278,"RA:AG9,AG10,AG19,A1,A2,A3,A5|SI:BG2,BG6,BG7,B3|CX:CG4,C5|TOP:TG2,TG3,TG9,TG15,T1,T3,T4,T5"
20,22,6,3,5,8,0.7437,0.0011,0.7463,0.001,0.5975,0.9937,10,0.27,"RA:AG1,AG10,AG20,AG26,A1,A2|SI:BG2,B3,B4|CX:CG1,CG2,CG3,CG4,C5|TOP:TG4,TG9,TG15,T2,T3,T4,T5,T6"
108,23,7,3,3,10,0.7397,0.0009,0.7415,0.0009,0.591,0.9946,12,0.333,"RA:AG1,AG18,AG23,AG27,A1,A2,A3|SI:BG2,BG6,B3|CX:C1,C4,C5|TOP:TG1,TG3,TG4,TG9,TG15,T3,T4,T5,T6,T8"
24,14,4,3,2,5,0.7348,0.0014,0.7408,0.0015,0.5914,0.9911,8,0.258,"RA:AG1,AG16,A1,A2|SI:BG2,B1,B3|CX:C4,C5|TOP:TG2,TG9,TG15,T4,T5"
118,15,4,3,2,6,0.7359,0.0013,0.7402,0.0011,0.5899,0.9934,9,0.29,"RA:AG1,AG19,AG27,A4|SI:BG2,B3,B4|CX:C4,C5|TOP:TG9,TG15,T3,T4,T5,T6"
99,19,6,3,3,7,0.7297,0.0009,0.7328,0.0008,0.5799,0.9953,10,0.294,"RA:AG1,AG6,AG16,AG27,A1,A4|SI:BG2,B3,B4|CX:CG4,C4,C5|TOP:TG3,TG9,TG15,T3,T4,T5,T6"
98,22,8,2,2,10,0.727,0.0007,0.7291,0.0004,0.5746,0.9972,13,0.382,"RA:AG1,AG11,AG27,A1,A2,A3,A4,A6|SI:BG2,B3|CX:C4,C5|TOP:TG1,TG3,TG4,TG9,TG15,T3,T4,T5,T6,T7"
