base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
113,17,0.7233,0.0001,0.7257,0.0001,0.5696,0.9994,0,0.0,0.0,G1(enum); G15(enum); G114(enum); G140(enum); G197(enum); G252(enum); G265(enum); G296(enum); G311(enum); G322(enum); G372(enum); G384(enum); G397(enum); G447(enum); G516(enum); G522(enum); G653(enum)
45,15,0.7254,0.0002,0.7249,0.0003,0.5691,0.9982,0,0.0,0.0,G1(enum); G114(enum); G140(enum); G197(enum); G252(enum); G265(enum); G296(enum); G322(enum); G384(enum); G478(wm); G516(enum); G522(enum); G584(enum); G651(enum); G653(enum)
55,16,0.7208,0.0001,0.7212,0.0001,0.5641,0.9995,0,0.0,0.0,G1(enum); G15(enum); G114(enum); G140(enum); G197(enum); G252(enum); G265(enum); G296(enum); G322(enum); G372(enum); G384(enum); G447(enum); G516(enum); G522(enum); G649(enum); G653(enum)
15,13,0.7135,0.0004,0.713,0.0005,0.5549,0.9968,0,0.0,0.0,G1(enum); G140(enum); G197(enum); G252(enum); G296(enum); G297(enum); G322(enum); G358(enum); G420(enum); G509(enum); G516(enum); G630(enum); G642(enum)
13,16,0.7125,0.0001,0.7126,0.0001,0.5537,0.9995,0,0.0,0.0,G1(enum); G15(enum); G114(enum); G140(enum); G197(enum); G252(enum); G265(enum); G296(enum); G322(enum); G384(enum); G447(enum); G477(enum); G516(enum); G522(enum); G651(enum); G653(enum)
41,14,0.6925,0.0001,0.694,0.0001,0.5316,0.9993,0,0.0,0.0,G1(enum); G116(enum); G140(enum); G197(enum); G252(enum); G322(enum); G358(enum); G447(enum); G509(enum); G516(enum); G519(enum); G564(enum); G642(enum); G676(enum)
63,15,0.6923,0.0001,0.6926,0.0001,0.53,0.9992,0,0.0,0.0,G1(enum); G140(enum); G197(enum); G252(enum); G296(enum); G322(enum); G358(enum); G372(enum); G420(enum); G447(enum); G509(enum); G516(enum); G630(enum); G642(enum); G676(enum)
48,12,0.6841,0.0001,0.684,0.0001,0.52,0.9992,0,0.0,0.0,G1(enum); G10(enum); G140(enum); G252(enum); G266(enum); G296(enum); G297(enum); G322(enum); G509(enum); G516(enum); G576(enum); G651(enum)
49,17,0.6795,0.0,0.6819,0.0002,0.5176,0.9989,1,0.029,0.056,G1(enum); G10(enum); G77(enum); G140(enum); G197(enum); G252(enum); G265(enum); G296(enum); G322(enum); G393(enum); G509(enum); G515(enum); G516(enum); G576(enum); G651(enum); G653(enum); R12
46,14,0.6724,0.0,0.6723,0.0001,0.5065,0.9995,0,0.0,0.0,G1(enum); G10(enum); G15(enum); G140(enum); G252(enum); G266(enum); G296(enum); G322(enum); G509(enum); G515(enum); G516(enum); G576(enum); G651(enum); G653(enum)
14,13,0.6647,0.0,0.665,0.0001,0.4982,0.9995,0,0.0,0.0,G1(enum); G10(enum); G15(enum); G140(enum); G252(enum); G266(enum); G296(enum); G322(enum); G509(enum); G516(enum); G576(enum); G651(enum); G653(enum)
6,17,0.6322,0.0,0.6342,0.0001,0.4645,0.9991,0,0.0,0.0,G1(enum); G15(enum); G140(enum); G197(enum); G252(enum); G266(enum); G322(enum); G358(enum); G420(enum); G447(enum); G509(enum); G515(enum); G516(enum); G584(enum); G642(enum); G653(enum); G676(enum)
43,16,0.6187,0.0,0.6213,0.0001,0.4508,0.9991,0,0.0,0.0,G1(enum); G15(enum); G140(enum); G197(enum); G252(enum); G265(enum); G322(enum); G358(enum); G420(enum); G447(enum); G509(enum); G516(enum); G524(enum); G630(enum); G642(enum); G676(enum)
82,15,0.615,0.0,0.619,0.0001,0.4484,0.9991,0,0.0,0.0,G1(enum); G15(enum); G140(enum); G197(enum); G252(enum); G265(enum); G322(enum); G358(enum); G420(enum); G447(enum); G509(enum); G516(enum); G630(enum); G642(enum); G676(enum)
44,14,0.6122,0.0,0.6158,0.0001,0.445,0.9993,0,0.0,0.0,G1(enum); G15(enum); G140(enum); G197(enum); G252(enum); G265(enum); G322(enum); G358(enum); G420(enum); G447(enum); G509(enum); G516(enum); G630(enum); G642(enum)
7,12,0.5986,0.0,0.5993,0.0001,0.428,0.9993,0,0.0,0.0,G1(enum); G143(enum); G197(enum); G224(enum); G397(enum); G420(enum); G513(enum); G516(enum); G531(enum); G578(enum); G651(enum); G657(enum)
9,13,0.5581,0.0,0.5568,0.0,0.3859,0.9996,0,0.0,0.0,G1(enum); G197(enum); G252(enum); G265(enum); G296(enum); G322(enum); G367(enum); G447(enum); G516(enum); G522(enum); G576(enum); G584(enum); G651(enum)
2,12,0.5442,0.0,0.5476,0.0,0.3771,0.9996,0,0.0,0.0,G1(enum); G140(enum); G197(enum); G252(enum); G296(enum); G322(enum); G384(enum); G447(enum); G516(enum); G522(enum); G584(enum); G653(enum)
